Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas du jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
25/06/2025,ATTIJARIWAFA BANK,ATW,"675,00","685,20","686,00","675,00",28 591,"19 522 006,60",90,"147 414 502 882,80"
24/06/2025,ATTIJARIWAFA BANK,ATW,"670,00","680,00","681,00","670,00",57 446,"39 006 767,20",112,"146 295 770 520,00"
23/06/2025,ATTIJARIWAFA BANK,ATW,"660,00","660,00","670,00","659,90",44 785,"29 605 278,10",78,"141 992 953 740,00"
20/06/2025,ATTIJARIWAFA BANK,ATW,"661,00","665,00","680,00","661,00",83 724,"55 886 923,60",114,"143 068 657 935,00"
19/06/2025,ATTIJARIWAFA BANK,ATW,"663,00","658,00","665,00","656,10",106 595,"70 196 118,60",144,"141 562 672 062,00"
18/06/2025,ATTIJARIWAFA BANK,ATW,"670,00","663,00","670,60","663,00",38 578,"25 719 917,60",152,"142 638 376 257,00"
17/06/2025,ATTIJARIWAFA BANK,ATW,"675,30","671,50","676,00","671,10",58 647,"39 557 358,70",105,"144 467 073 388,50"
16/06/2025,ATTIJARIWAFA BANK,ATW,"677,00","676,10","680,00","671,00",12 399,"8 368 031,20",66,"145 456 721 247,90"
13/06/2025,ATTIJARIWAFA BANK,ATW,"671,00","686,00","686,00","671,00",52 986,"35 774 975,70",148,"147 586 615 554,00"
12/06/2025,ATTIJARIWAFA BANK,ATW,"680,00","684,20","685,00","680,00",67 176,"45 927 080,00",88,"147 199 362 043,80"
11/06/2025,ATTIJARIWAFA BANK,ATW,"687,00","682,50","689,00","680,00",43 827,"29 890 888,30",57,"146 833 622 617,50"
10/06/2025,ATTIJARIWAFA BANK,ATW,"673,00","680,00","693,00","672,20",28 057,"19 055 106,90",73,"146 295 770 520,00"
06/06/2025,ATTIJARIWAFA BANK,ATW,"685,00","671,60","689,00","671,60",45 267,"30 687 602,70",92,"144 488 587 472,40"
05/06/2025,ATTIJARIWAFA BANK,ATW,"683,00","683,50","695,00","683,00",9 616,"6 579 391,20",76,"147 048 763 456,50"
04/06/2025,ATTIJARIWAFA BANK,ATW,"675,00","682,00","690,00","675,00",80 130,"54 666 148,40",103,"146 726 052 198,00"
03/06/2025,ATTIJARIWAFA BANK,ATW,"672,00","675,00","676,00","670,00",87 260,"58 873 332,30",88,"145 220 066 325,00"
02/06/2025,ATTIJARIWAFA BANK,ATW,"670,00","670,00","672,00","662,10",2 609,"1 740 446,60",49,"144 144 362 130,00"
30/05/2025,ATTIJARIWAFA BANK,ATW,"663,00","664,00","670,00","662,00",265 788,"176 518 187,90",182,"142 853 517 096,00"
29/05/2025,ATTIJARIWAFA BANK,ATW,"673,00","662,80","673,00","662,80",32 423,"21 525 958,30",111,"142 595 348 089,20"
28/05/2025,ATTIJARIWAFA BANK,ATW,"670,60","673,00","680,00","670,60",10 644,"7 171 701,00",63,"144 789 784 647,00"
27/05/2025,ATTIJARIWAFA BANK,ATW,"685,00","679,00","685,00","670,00",3 562,"2 414 912,20",56,"146 080 629 681,00"
26/05/2025,ATTIJARIWAFA BANK,ATW,"695,00","690,60","698,00","690,60",13 031,"9 023 019,10",68,"148 576 263 413,40"
23/05/2025,ATTIJARIWAFA BANK,ATW,"699,00","694,90","699,00","694,10",63 618,"44 354 490,60",89,"149 501 369 021,10"
22/05/2025,ATTIJARIWAFA BANK,ATW,"685,00","693,00","701,00","685,00",31 970,"22 282 825,50",151,"149 092 601 427,00"
21/05/2025,ATTIJARIWAFA BANK,ATW,"680,00","685,00","688,00","673,10",25 447,"17 387 817,10",97,"147 371 474 715,00"
20/05/2025,ATTIJARIWAFA BANK,ATW,"667,10","680,00","680,00","667,10",40 589,"27 418 505,00",125,"146 295 770 520,00"
19/05/2025,ATTIJARIWAFA BANK,ATW,"667,20","672,00","674,00","667,20",24 496,"16 383 965,40",65,"144 574 643 808,00"
16/05/2025,ATTIJARIWAFA BANK,ATW,"673,00","667,10","676,00","667,10",109 240,"72 972 940,90",90,"143 520 453 696,90"
15/05/2025,ATTIJARIWAFA BANK,ATW,"676,50","675,00","677,00","675,00",55 984,"37 817 546,60",101,"145 220 066 325,00"
14/05/2025,ATTIJARIWAFA BANK,ATW,"670,60","676,00","676,90","670,60",110 822,"74 865 940,40",95,"145 435 207 164,00"
13/05/2025,ATTIJARIWAFA BANK,ATW,"670,40","674,90","676,90","670,40",28 666,"19 344 498,30",68,"145 198 552 241,10"
12/05/2025,ATTIJARIWAFA BANK,ATW,"665,10","675,00","675,00","665,10",151 868,"102 444 933,60",158,"145 220 066 325,00"
09/05/2025,ATTIJARIWAFA BANK,ATW,"665,50","666,00","670,00","665,50",21 637,"14 419 366,50",46,"143 283 798 774,00"
08/05/2025,ATTIJARIWAFA BANK,ATW,"663,00","670,00","671,00","663,00",74 782,"50 068 763,60",86,"144 144 362 130,00"
07/05/2025,ATTIJARIWAFA BANK,ATW,"660,30","665,10","666,00","660,30",50 566,"33 598 124,60",87,"143 090 172 018,90"
06/05/2025,ATTIJARIWAFA BANK,ATW,"663,00","663,00","665,00","660,30",20 806,"13 791 204,60",60,"142 638 376 257,00"
05/05/2025,ATTIJARIWAFA BANK,ATW,"660,30","663,00","665,00","660,30",3 888,"2 575 097,10",52,"142 638 376 257,00"
02/05/2025,ATTIJARIWAFA BANK,ATW,"660,00","663,00","663,00","659,10",24 769,"16 374 141,50",74,"142 638 376 257,00"
30/04/2025,ATTIJARIWAFA BANK,ATW,"664,00","660,00","664,00","659,00",110 038,"72 780 494,40",114,"141 992 953 740,00"
29/04/2025,ATTIJARIWAFA BANK,ATW,"661,10","659,00","665,00","659,00",12 568,"8 297 361,70",92,"141 777 812 901,00"
28/04/2025,ATTIJARIWAFA BANK,ATW,"661,00","665,00","666,00","661,00",18 507,"12 302 744,70",63,"143 068 657 935,00"
25/04/2025,ATTIJARIWAFA BANK,ATW,"662,90","663,00","665,00","660,00",43 549,"28 875 123,20",82,"142 638 376 257,00"
24/04/2025,ATTIJARIWAFA BANK,ATW,"660,00","662,90","667,00","660,00",25 483,"16 893 494,70",77,"142 616 862 173,10"
23/04/2025,ATTIJARIWAFA BANK,ATW,"665,00","660,00","670,00","660,00",28 369,"18 747 134,20",75,"141 992 953 740,00"
22/04/2025,ATTIJARIWAFA BANK,ATW,"665,10","665,00","671,00","665,00",57 054,"38 079 383,30",110,"143 068 657 935,00"
21/04/2025,ATTIJARIWAFA BANK,ATW,"665,00","673,00","673,00","662,10",26 772,"17 890 460,80",78,"144 789 784 647,00"
18/04/2025,ATTIJARIWAFA BANK,ATW,"661,00","670,00","670,00","661,00",82 413,"55 017 109,00",100,"144 144 362 130,00"
17/04/2025,ATTIJARIWAFA BANK,ATW,"663,00","664,00","669,90","660,10",24 406,"16 200 099,10",92,"142 853 517 096,00"
16/04/2025,ATTIJARIWAFA BANK,ATW,"670,00","665,00","670,00","660,60",71 246,"47 377 586,90",121,"143 068 657 935,00"
15/04/2025,ATTIJARIWAFA BANK,ATW,"648,00","664,00","664,80","641,30",43 581,"28 721 057,90",133,"142 853 517 096,00"
14/04/2025,ATTIJARIWAFA BANK,ATW,"636,10","648,00","648,00","636,10",33 587,"21 517 497,10",108,"139 411 263 672,00"
11/04/2025,ATTIJARIWAFA BANK,ATW,"649,00","630,10","649,00","625,20",137 925,"87 083 263,80",295,"135 560 242 653,90"
10/04/2025,ATTIJARIWAFA BANK,ATW,"659,00","640,00","675,00","638,00",247 641,"161 437 226,80",385,"137 690 136 960,00"
09/04/2025,ATTIJARIWAFA BANK,ATW,"640,00","636,70","655,00","635,00",145 736,"93 146 923,40",300,"136 980 172 191,30"
08/04/2025,ATTIJARIWAFA BANK,ATW,"660,00","658,90","670,00","650,30",95 537,"62 989 271,90",233,"141 756 298 817,10"
07/04/2025,ATTIJARIWAFA BANK,ATW,"650,00","646,50","656,00","640,00",131 356,"84 957 409,80",337,"139 088 552 413,50"
04/04/2025,ATTIJARIWAFA BANK,ATW,"680,00","675,00","684,00","675,00",181 780,"123 218 299,10",201,"145 220 066 325,00"
03/04/2025,ATTIJARIWAFA BANK,ATW,"681,50","680,00","688,00","676,30",139 962,"95 366 624,90",186,"146 295 770 520,00"
02/04/2025,ATTIJARIWAFA BANK,ATW,"697,00","690,00","697,00","686,20",27 191,"18 816 021,30",104,"148 447 178 910,00"
28/03/2025,ATTIJARIWAFA BANK,ATW,"691,30","699,80","699,90","691,30",93 686,"65 449 167,20",95,"150 555 559 132,20"
27/03/2025,ATTIJARIWAFA BANK,ATW,"695,00","690,10","695,00","680,00",47 908,"33 038 243,40",94,"148 468 692 993,90"
26/03/2025,ATTIJARIWAFA BANK,ATW,"690,00","692,00","703,00","690,00",28 453,"19 742 551,20",106,"148 877 460 588,00"
25/03/2025,ATTIJARIWAFA BANK,ATW,"705,00","693,10","706,00","685,00",184 542,"129 802 273,10",177,"149 114 115 510,90"
24/03/2025,ATTIJARIWAFA BANK,ATW,"687,00","705,00","705,30","687,00",227 935,"159 867 540,60",193,"151 674 291 495,00"
21/03/2025,ATTIJARIWAFA BANK,ATW,"680,00","687,00","687,00","678,00",229 250,"156 175 180,10",162,"147 801 756 393,00"
20/03/2025,ATTIJARIWAFA BANK,ATW,"671,50","675,00","678,00","671,50",457 723,"307 759 735,00",155,"145 220 066 325,00"
19/03/2025,ATTIJARIWAFA BANK,ATW,"660,70","670,10","673,00","660,70",259 539,"173 797 687,20",187,"144 165 876 213,90"
18/03/2025,ATTIJARIWAFA BANK,ATW,"645,00","650,10","650,10","643,10",118 271,"76 855 042,50",115,"139 863 059 433,90"
17/03/2025,ATTIJARIWAFA BANK,ATW,"649,40","644,10","650,00","644,00",21 636,"13 947 073,60",84,"138 572 214 399,90"
14/03/2025,ATTIJARIWAFA BANK,ATW,"645,00","649,00","650,00","645,00",42 275,"27 439 014,30",103,"139 626 404 511,00"
13/03/2025,ATTIJARIWAFA BANK,ATW,"633,00","645,00","645,00","633,00",93 714,"59 748 639,10",92,"138 765 841 155,00"
12/03/2025,ATTIJARIWAFA BANK,ATW,"643,00","633,00","645,00","630,90",87 084,"55 244 476,50",176,"136 184 151 087,00"
11/03/2025,ATTIJARIWAFA BANK,ATW,"640,00","640,00","644,50","640,00",100 876,"64 598 798,90",141,"137 690 136 960,00"
10/03/2025,ATTIJARIWAFA BANK,ATW,"635,00","637,10","648,90","635,00",43 348,"27 611 592,20",63,"137 066 228 526,90"
07/03/2025,ATTIJARIWAFA BANK,ATW,"634,50","635,00","635,00","632,00",30 243,"19 175 347,80",62,"136 614 432 765,00"
06/03/2025,ATTIJARIWAFA BANK,ATW,"635,00","634,00","637,00","631,20",61 207,"38 840 179,90",77,"136 399 291 926,00"
05/03/2025,ATTIJARIWAFA BANK,ATW,"635,10","635,00","638,00","632,10",39 096,"24 828 888,00",97,"136 614 432 765,00"
04/03/2025,ATTIJARIWAFA BANK,ATW,"640,20","638,00","645,00","638,00",100 767,"64 415 780,20",159,"137 259 855 282,00"
03/03/2025,ATTIJARIWAFA BANK,ATW,"641,10","645,00","658,00","641,10",30 921,"19 990 641,80",55,"138 765 841 155,00"
28/02/2025,ATTIJARIWAFA BANK,ATW,"663,00","640,10","663,00","640,10",44 828,"28 950 733,30",131,"137 711 651 043,90"
27/02/2025,ATTIJARIWAFA BANK,ATW,"668,90","655,00","668,90","651,50",21 980,"14 486 297,60",142,"140 917 249 545,00"
26/02/2025,ATTIJARIWAFA BANK,ATW,"675,00","660,00","676,00","660,00",40 721,"27 113 847,60",168,"141 992 953 740,00"
25/02/2025,ATTIJARIWAFA BANK,ATW,"666,00","666,00","670,00","661,00",23 815,"15 861 784,90",63,"143 283 798 774,00"
24/02/2025,ATTIJARIWAFA BANK,ATW,"665,20","666,00","668,00","660,10",38 782,"25 792 885,90",99,"143 283 798 774,00"
21/02/2025,ATTIJARIWAFA BANK,ATW,"669,50","666,00","671,00","666,00",49 871,"33 303 237,40",130,"143 283 798 774,00"
20/02/2025,ATTIJARIWAFA BANK,ATW,"666,10","667,50","670,00","666,10",38 153,"25 485 765,70",121,"143 606 510 032,50"
19/02/2025,ATTIJARIWAFA BANK,ATW,"655,00","670,00","670,00","655,00",86 042,"57 004 023,30",150,"144 144 362 130,00"
18/02/2025,ATTIJARIWAFA BANK,ATW,"646,00","657,00","657,80","646,00",169 060,"110 354 585,00",221,"141 347 531 223,00"
17/02/2025,ATTIJARIWAFA BANK,ATW,"641,00","648,10","648,10","641,00",64 325,"41 567 697,90",118,"139 432 777 755,90"
14/02/2025,ATTIJARIWAFA BANK,ATW,"638,00","645,00","645,00","636,10",61 900,"39 726 468,30",106,"138 765 841 155,00"
13/02/2025,ATTIJARIWAFA BANK,ATW,"634,00","638,00","644,00","634,00",57 437,"36 751 630,60",97,"137 259 855 282,00"
12/02/2025,ATTIJARIWAFA BANK,ATW,"630,00","640,00","641,00","630,00",101 729,"64 975 704,60",158,"137 690 136 960,00"
11/02/2025,ATTIJARIWAFA BANK,ATW,"624,40","626,00","634,00","624,40",89 897,"56 731 810,20",87,"134 678 165 214,00"
10/02/2025,ATTIJARIWAFA BANK,ATW,"627,00","630,00","630,00","623,10",9 789,"6 139 087,30",63,"135 538 728 570,00"
07/02/2025,ATTIJARIWAFA BANK,ATW,"622,50","628,50","630,00","622,50",106 385,"66 581 377,20",136,"135 216 017 311,50"
06/02/2025,ATTIJARIWAFA BANK,ATW,"623,00","630,10","630,10","623,00",21 821,"13 686 914,60",78,"135 560 242 653,90"
05/02/2025,ATTIJARIWAFA BANK,ATW,"621,50","625,00","627,90","621,50",21 304,"13 289 548,90",106,"134 463 024 375,00"
04/02/2025,ATTIJARIWAFA BANK,ATW,"624,10","622,10","629,00","622,10",41 477,"25 883 973,20",122,"133 839 115 941,90"
03/02/2025,ATTIJARIWAFA BANK,ATW,"630,00","623,80","630,00","623,80",9 494,"5 930 667,80",83,"134 204 855 368,20"
31/01/2025,ATTIJARIWAFA BANK,ATW,"635,00","631,00","640,00","625,00",82 922,"52 411 577,20",133,"135 753 869 409,00"
30/01/2025,ATTIJARIWAFA BANK,ATW,"629,00","636,00","650,00","626,00",99 982,"63 625 409,00",202,"136 829 573 604,00"
29/01/2025,ATTIJARIWAFA BANK,ATW,"616,00","629,90","629,90","616,00",86 131,"54 039 101,10",128,"135 517 214 486,10"
28/01/2025,ATTIJARIWAFA BANK,ATW,"612,50","617,10","619,50","612,50",19 329,"11 903 352,50",99,"132 763 411 746,90"
27/01/2025,ATTIJARIWAFA BANK,ATW,"612,10","614,90","619,00","612,10",18 789,"11 545 073,70",81,"132 290 101 901,10"
24/01/2025,ATTIJARIWAFA BANK,ATW,"612,10","615,00","620,00","612,00",99 238,"60 972 515,20",143,"132 311 615 985,00"
23/01/2025,ATTIJARIWAFA BANK,ATW,"610,50","612,60","615,00","610,50",94 368,"57 705 065,70",103,"131 795 277 971,40"
22/01/2025,ATTIJARIWAFA BANK,ATW,"613,00","613,00","617,80","610,00",139 980,"85 437 863,80",103,"131 881 334 307,00"
21/01/2025,ATTIJARIWAFA BANK,ATW,"622,10","613,80","624,00","613,80",75 461,"46 662 070,10",154,"132 053 446 978,20"
20/01/2025,ATTIJARIWAFA BANK,ATW,"620,10","622,10","625,00","620,10",16 422,"10 214 501,60",71,"133 839 115 941,90"
17/01/2025,ATTIJARIWAFA BANK,ATW,"625,00","621,00","627,00","620,40",47 471,"29 492 602,40",133,"133 602 461 019,00"
16/01/2025,ATTIJARIWAFA BANK,ATW,"630,00","624,70","630,00","620,10",38 872,"24 401 765,90",159,"134 398 482 123,30"
15/01/2025,ATTIJARIWAFA BANK,ATW,"630,00","627,50","630,00","623,20",107 790,"67 666 793,90",125,"135 000 876 472,50"
13/01/2025,ATTIJARIWAFA BANK,ATW,"620,00","620,00","629,00","607,00",17 323,"10 726 845,50",76,"133 387 320 180,00"
10/01/2025,ATTIJARIWAFA BANK,ATW,"620,00","620,00","633,00","620,00",219 365,"137 794 770,80",272,"133 387 320 180,00"
09/01/2025,ATTIJARIWAFA BANK,ATW,"614,00","621,80","634,00","614,00",147 990,"92 079 739,40",282,"133 774 573 690,20"
08/01/2025,ATTIJARIWAFA BANK,ATW,"606,00","614,20","620,00","606,00",74 712,"45 939 061,80",291,"132 139 503 313,80"
07/01/2025,ATTIJARIWAFA BANK,ATW,"603,40","606,10","610,00","603,40",117 842,"71 504 538,20",180,"130 396 862 517,90"
06/01/2025,ATTIJARIWAFA BANK,ATW,"602,00","605,00","620,00","602,00",126 591,"77 391 960,70",296,"130 160 207 595,00"
03/01/2025,ATTIJARIWAFA BANK,ATW,"585,00","608,90","610,10","584,00",344 256,"206 742 077,60",734,"130 999 256 867,10"
02/01/2025,ATTIJARIWAFA BANK,ATW,"571,00","583,00","590,00","571,00",98 594,"57 277 998,60",298,"125 427 109 137,00"
31/12/2024,ATTIJARIWAFA BANK,ATW,"564,50","569,00","571,50","564,50",59 239,"33 645 935,60",331,"122 415 137 391,00"
30/12/2024,ATTIJARIWAFA BANK,ATW,"560,00","566,00","566,00","560,00",106 307,"59 984 609,30",337,"121 769 714 874,00"
27/12/2024,ATTIJARIWAFA BANK,ATW,"567,50","566,00","569,00","565,00",102 909,"58 285 956,70",561,"121 769 714 874,00"
26/12/2024,ATTIJARIWAFA BANK,ATW,"565,70","570,00","573,00","565,70",556 229,"317 050 075,40",51,"122 630 278 230,00"
25/12/2024,ATTIJARIWAFA BANK,ATW,"575,00","569,50","575,00","565,00",25 665,"14 622 034,20",50,"122 522 707 810,50"
24/12/2024,ATTIJARIWAFA BANK,ATW,"570,00","570,00","575,00","566,10",11 007,"6 271 722,80",48,"122 630 278 230,00"
23/12/2024,ATTIJARIWAFA BANK,ATW,"565,60","574,00","575,00","565,60",172 152,"98 811 014,60",48,"123 490 841 586,00"
20/12/2024,ATTIJARIWAFA BANK,ATW,"571,10","574,00","575,00","567,00",89 430,"51 091 564,10",72,"123 490 841 586,00"
19/12/2024,ATTIJARIWAFA BANK,ATW,"572,00","571,50","577,90","571,50",29 254,"16 726 673,70",34,"122 952 989 488,50"
18/12/2024,ATTIJARIWAFA BANK,ATW,"578,00","571,60","578,00","571,60",13 465,"7 705 333,80",40,"122 974 503 572,40"
17/12/2024,ATTIJARIWAFA BANK,ATW,"573,00","575,00","585,00","571,50",165 127,"94 804 710,00",132,"123 705 982 425,00"
16/12/2024,ATTIJARIWAFA BANK,ATW,"568,00","572,50","579,40","568,00",1 069,"611 567,80",31,"123 168 130 327,50"
13/12/2024,ATTIJARIWAFA BANK,ATW,"573,00","571,80","579,00","567,30",53 358,"30 486 481,80",82,"123 017 531 740,20"
12/12/2024,ATTIJARIWAFA BANK,ATW,"569,00","572,00","579,50","568,00",27 735,"15 880 394,30",61,"123 060 559 908,00"
11/12/2024,ATTIJARIWAFA BANK,ATW,"570,00","573,30","577,90","566,30",8 505,"4 894 703,00",34,"123 340 242 998,70"
10/12/2024,ATTIJARIWAFA BANK,ATW,"575,00","566,00","583,00","565,00",4 244,"2 418 957,00",36,"121 769 714 874,00"
09/12/2024,ATTIJARIWAFA BANK,ATW,"572,50","579,80","584,00","572,50",15 376,"8 892 236,00",47,"124 738 658 452,20"
06/12/2024,ATTIJARIWAFA BANK,ATW,"580,00","575,00","594,40","575,00",37 317,"21 489 658,90",87,"123 705 982 425,00"
05/12/2024,ATTIJARIWAFA BANK,ATW,"564,00","600,00","600,00","564,00",51 786,"30 418 262,90",88,"129 084 503 400,00"
04/12/2024,ATTIJARIWAFA BANK,ATW,"572,00","567,00","572,00","562,30",10 912,"6 189 520,60",26,"121 984 855 713,00"
03/12/2024,ATTIJARIWAFA BANK,ATW,"565,10","568,90","570,00","563,00",3 540,"2 010 900,10",35,"122 393 623 307,10"
02/12/2024,ATTIJARIWAFA BANK,ATW,"576,00","570,00","576,00","570,00",11 787,"6 752 969,20",34,"122 630 278 230,00"
29/11/2024,ATTIJARIWAFA BANK,ATW,"571,00","574,00","578,00","570,60",29 860,"17 135 500,00",50,"123 490 841 586,00"
28/11/2024,ATTIJARIWAFA BANK,ATW,"575,00","573,10","580,00","565,00",17 483,"10 041 445,40",42,"123 297 214 830,90"
27/11/2024,ATTIJARIWAFA BANK,ATW,"565,00","575,00","575,00","565,00",62 036,"35 507 388,90",80,"123 705 982 425,00"
26/11/2024,ATTIJARIWAFA BANK,ATW,"562,10","570,00","575,00","560,60",13 370,"7 576 516,80",60,"122 630 278 230,00"
25/11/2024,ATTIJARIWAFA BANK,ATW,"572,00","561,00","572,10","561,00",51 485,"28 947 250,70",102,"120 694 010 679,00"
22/11/2024,ATTIJARIWAFA BANK,ATW,"575,00","575,00","576,50","571,00",14 162,"8 121 729,70",56,"123 705 982 425,00"
21/11/2024,ATTIJARIWAFA BANK,ATW,"580,00","575,50","580,00","575,10",25 606,"14 795 729,00",67,"123 813 552 844,50"
20/11/2024,ATTIJARIWAFA BANK,ATW,"584,00","580,00","584,00","577,00",54 251,"31 489 675,80",74,"124 781 686 620,00"
19/11/2024,ATTIJARIWAFA BANK,ATW,"579,00","584,00","590,00","578,00",66 628,"38 784 900,20",101,"125 642 249 976,00"
15/11/2024,ATTIJARIWAFA BANK,ATW,"567,20","578,00","578,00","567,20",76 278,"43 665 328,20",115,"124 351 404 942,00"
14/11/2024,ATTIJARIWAFA BANK,ATW,"569,90","569,70","569,90","565,00",26 187,"14 896 191,70",38,"122 565 735 978,30"
13/11/2024,ATTIJARIWAFA BANK,ATW,"571,00","568,10","571,00","567,10",13 299,"7 573 428,40",33,"122 221 510 635,90"
12/11/2024,ATTIJARIWAFA BANK,ATW,"567,10","570,00","574,00","567,10",34 538,"19 700 727,50",94,"122 630 278 230,00"
11/11/2024,ATTIJARIWAFA BANK,ATW,"570,00","570,00","571,90","566,00",46 543,"26 473 104,70",82,"122 630 278 230,00"
08/11/2024,ATTIJARIWAFA BANK,ATW,"565,00","570,10","570,10","565,00",144 277,"81 920 317,70",159,"122 651 792 313,90"
07/11/2024,ATTIJARIWAFA BANK,ATW,"548,00","565,00","570,00","547,50",73 812,"41 419 473,10",166,"121 554 574 035,00"
05/11/2024,ATTIJARIWAFA BANK,ATW,"547,90","546,80","548,00","541,30",17 206,"9 400 928,80",44,"117 639 010 765,20"
04/11/2024,ATTIJARIWAFA BANK,ATW,"548,00","548,00","548,00","541,00",16 041,"8 766 801,90",69,"117 897 179 772,00"
01/11/2024,ATTIJARIWAFA BANK,ATW,"544,00","549,90","549,90","540,10",59 215,"32 373 387,10",71,"118 305 947 366,10"
31/10/2024,ATTIJARIWAFA BANK,ATW,"541,00","541,10","542,10","539,00",36 748,"19 879 227,90",30,"116 412 707 982,90"
30/10/2024,ATTIJARIWAFA BANK,ATW,"541,00","542,10","548,00","541,00",6 145,"3 341 093,10",26,"116 627 848 821,90"
29/10/2024,ATTIJARIWAFA BANK,ATW,"540,10","545,00","545,00","540,10",16 655,"9 059 629,00",41,"117 251 757 255,00"
28/10/2024,ATTIJARIWAFA BANK,ATW,"545,00","545,00","547,50","538,00",84 831,"45 971 106,90",49,"117 251 757 255,00"
25/10/2024,ATTIJARIWAFA BANK,ATW,"539,00","545,00","545,00","539,00",104 034,"56 649 033,20",47,"117 251 757 255,00"
24/10/2024,ATTIJARIWAFA BANK,ATW,"543,90","540,00","543,90","538,00",38 066,"20 563 420,90",31,"116 176 053 060,00"
23/10/2024,ATTIJARIWAFA BANK,ATW,"535,00","536,00","538,80","534,00",16 924,"9 072 589,20",44,"115 315 489 704,00"
22/10/2024,ATTIJARIWAFA BANK,ATW,"534,10","538,90","539,00","534,10",658,"352 559,60",18,"115 939 398 137,10"
21/10/2024,ATTIJARIWAFA BANK,ATW,"534,00","538,00","538,00","534,00",6 056,"3 253 036,50",20,"115 745 771 382,00"
18/10/2024,ATTIJARIWAFA BANK,ATW,"543,00","538,00","543,00","530,10",17 441,"9 402 581,40",49,"115 745 771 382,00"
17/10/2024,ATTIJARIWAFA BANK,ATW,"534,00","539,90","543,00","534,00",18 705,"10 056 213,10",59,"116 154 538 976,10"
16/10/2024,ATTIJARIWAFA BANK,ATW,"534,00","533,00","536,90","530,30",36 240,"19 324 632,20",69,"114 670 067 187,00"
15/10/2024,ATTIJARIWAFA BANK,ATW,"534,00","536,00","538,00","534,00",30 309,"16 191 518,30",68,"115 315 489 704,00"
14/10/2024,ATTIJARIWAFA BANK,ATW,"538,00","535,00","538,00","531,00",4 389,"2 348 327,00",27,"115 100 348 865,00"
11/10/2024,ATTIJARIWAFA BANK,ATW,"533,00","538,00","538,00","533,00",62 083,"33 256 287,50",35,"115 745 771 382,00"
10/10/2024,ATTIJARIWAFA BANK,ATW,"532,80","535,00","540,00","532,80",9 289,"4 968 397,60",36,"115 100 348 865,00"
09/10/2024,ATTIJARIWAFA BANK,ATW,"525,00","540,00","540,00","525,00",31 011,"16 594 298,30",67,"116 176 053 060,00"
08/10/2024,ATTIJARIWAFA BANK,ATW,"531,00","525,00","531,00","524,00",70 663,"37 111 755,70",120,"112 948 940 475,00"
07/10/2024,ATTIJARIWAFA BANK,ATW,"538,00","530,00","539,00","530,00",45 790,"24 442 357,80",56,"114 024 644 670,00"
04/10/2024,ATTIJARIWAFA BANK,ATW,"537,00","538,00","540,00","536,10",20 196,"10 847 353,50",39,"115 745 771 382,00"
03/10/2024,ATTIJARIWAFA BANK,ATW,"533,20","537,00","540,00","533,20",29 077,"15 636 557,60",49,"115 530 630 543,00"
02/10/2024,ATTIJARIWAFA BANK,ATW,"544,00","537,00","544,00","535,00",91 001,"49 031 240,60",78,"115 530 630 543,00"
01/10/2024,ATTIJARIWAFA BANK,ATW,"550,00","544,00","550,00","541,00",37 648,"20 483 765,10",38,"117 036 616 416,00"
30/09/2024,ATTIJARIWAFA BANK,ATW,"548,00","543,00","555,00","542,10",34 251,"18 651 497,20",86,"116 821 475 577,00"
27/09/2024,ATTIJARIWAFA BANK,ATW,"546,00","555,00","555,00","545,20",154 888,"85 483 912,50",90,"119 403 165 645,00"
26/09/2024,ATTIJARIWAFA BANK,ATW,"548,00","550,00","550,00","546,00",25 732,"14 129 612,80",60,"118 327 461 450,00"
25/09/2024,ATTIJARIWAFA BANK,ATW,"547,00","550,00","558,90","547,00",218 367,"120 119 820,70",85,"118 327 461 450,00"
24/09/2024,ATTIJARIWAFA BANK,ATW,"555,00","546,90","564,90","546,00",181 993,"100 631 931,70",200,"117 660 524 849,10"
23/09/2024,ATTIJARIWAFA BANK,ATW,"546,10","549,70","550,00","546,10",19 806,"10 875 600,70",46,"118 262 919 198,30"
20/09/2024,ATTIJARIWAFA BANK,ATW,"553,00","549,70","554,90","547,00",51 560,"28 356 446,30",48,"118 262 919 198,30"
19/09/2024,ATTIJARIWAFA BANK,ATW,"545,00","549,50","550,00","545,00",97 885,"53 444 387,80",99,"118 219 891 030,50"
18/09/2024,ATTIJARIWAFA BANK,ATW,"539,00","540,20","540,20","535,10",50 120,"27 037 368,10",50,"116 219 081 227,80"
13/09/2024,ATTIJARIWAFA BANK,ATW,"533,60","539,50","539,50","532,40",74 471,"40 039 170,70",52,"116 068 482 640,50"
12/09/2024,ATTIJARIWAFA BANK,ATW,"538,00","534,00","538,00","532,60",24 413,"13 036 684,50",46,"114 885 208 026,00"
11/09/2024,ATTIJARIWAFA BANK,ATW,"536,90","534,00","536,90","531,00",43 902,"23 443 741,00",54,"114 885 208 026,00"
10/09/2024,ATTIJARIWAFA BANK,ATW,"535,30","536,00","538,80","535,30",30 530,"16 363 641,30",36,"115 315 489 704,00"
09/09/2024,ATTIJARIWAFA BANK,ATW,"538,00","536,90","539,90","535,10",13 911,"7 468 011,80",71,"115 509 116 459,10"
